state,parlimen,ballot_order,name,age,sex,ethnicity,party,votes,result,result_desc
Perlis,P.001 Padang Besar,1,AZMI BIN KHALID,67,male,bumiputera,BARISAN NASIONAL (BN),16991,1,won
Perlis,P.001 Padang Besar,2,ZOLKHARNAIN BIN ABIDIN,40,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),11643,0,lost
Perlis,P.002 Kangar,1,MOHD RADZI SHEIKH AHMAD,66,male,bumiputera,BARISAN NASIONAL (BN),23821,1,won
Perlis,P.002 Kangar,2,TUNKU ABDUL RAHMAN,66,male,bumiputera,PARTI KEADILAN RAKYAT (PKR),10150,0,lost
Perlis,P.003 Arau,1,HARON DIN,67,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),16151,0,lost
Perlis,P.003 Arau,2,ISMAIL BIN KASIM (CHU),48,male,bumiputera,BARISAN NASIONAL (BN),16451,1,won
Kedah,P.004 Langkawi,1,ABU BAKAR TAIB,65,male,bumiputera,BARISAN NASIONAL (BN),13762,1,won
Kedah,P.004 Langkawi,2,WAN SALLEH,56,male,bumiputera,PARTI KEADILAN RAKYAT (PKR),8792,0,lost
Kedah,P.005 Jerlun,1,IDRIS AHMAD,44,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),17219,0,lost
Kedah,P.005 Jerlun,2,MUKHRIZ MAHATHIR,43,male,bumiputera,BARISAN NASIONAL (BN),19424,1,won
Kedah,P.006 Kubang Pasu,1,ISA ISMAIL,60,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),17119,0,lost
Kedah,P.006 Kubang Pasu,2,MOHD JOHARI BIN BAHARUM,53,male,bumiputera,BARISAN NASIONAL (BN),24179,1,won
Kedah,P.007 Padang Terap,1,GHAZALI BIN IBRAHIM,54,male,bumiputera,BARISAN NASIONAL (BN),14634,0,lost
Kedah,P.007 Padang Terap,2,NASIR BIN ZAKARIA,32,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),15003,1,won
Kedah,P.008 Pokok Sena,1,ABDUL RAHMAN BIN IBRAHIM,58,male,bumiputera,BARISAN NASIONAL (BN),23956,0,lost
Kedah,P.008 Pokok Sena,2,MAHFUZ OMAR,50,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),29687,1,won
Kedah,P.009 Alor Setar,1,CHOR CHEE HEUNG,53,male,chinese,BARISAN NASIONAL (BN),20741,1,won
Kedah,P.009 Alor Setar,2,GOOI HSIAO LEUNG,35,male,chinese,PARTI KEADILAN RAKYAT (PKR),20557,0,lost
Kedah,P.010 Kuala Kedah,1,AHMAD BIN KASIM,44,male,bumiputera,PARTI KEADILAN RAKYAT (PKR),35689,1,won
Kedah,P.010 Kuala Kedah,2,HASHIM BIN JAHAYA,45,male,bumiputera,BARISAN NASIONAL (BN),28671,0,lost
Kedah,P.011 Pendang,1,MOHD HAYATI OTHMAN,50,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),27311,1,won
Kedah,P.011 Pendang,2,MOHD ROZAI BIN HJ SHAFIAN,53,male,bumiputera,BARISAN NASIONAL (BN),23238,0,lost
Kedah,P.012 Jerai,1,MOHD FIRDAUS BIN JAAFAR,34,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),26510,1,won
Kedah,P.012 Jerai,2,BADRUDDIN BIN AMIRULDIN,57,male,bumiputera,BARISAN NASIONAL (BN),24211,0,lost
Kedah,P.013 Sik,1,OTHMAN BIN DESA,54,male,bumiputera,BARISAN NASIONAL (BN),16383,0,lost
Kedah,P.013 Sik,2,CHE UDA BIN CHE NIK,59,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),16864,1,won
Kedah,P.014 Merbok,1,TAJUL URUS MAT ZAIN,56,male,bumiputera,BARISAN NASIONAL (BN),22443,0,lost
Kedah,P.014 Merbok,2,RASHID DIN,61,male,bumiputera,PARTI KEADILAN RAKYAT (PKR),25541,1,won
Kedah,P.015 Sungai Petani,1,ZAINUDIN BIN MAIDIN,68,male,bumiputera,BARISAN NASIONAL (BN),24441,0,lost
Kedah,P.015 Sungai Petani,2,JOHARI ABDUL,52,male,bumiputera,PARTI KEADILAN RAKYAT (PKR),33822,1,won
Kedah,P.016 Baling,1,AZEEZ RAHIM,41,male,bumiputera,BARISAN NASIONAL (BN),28461,0,lost
Kedah,P.016 Baling,2,TAIB AZAMUDDEN,57,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),36074,1,won
Kedah,P.017 Padang Serai,1,BOEY CHIN GAN,42,male,chinese,BARISAN NASIONAL (BN),17036,0,lost
Kedah,P.017 Padang Serai,2,GOBALAKRISHNAN A/L NAGAPAN,47,male,indian,PARTI KEADILAN RAKYAT (PKR),28774,1,won
Kedah,P.018 Kulim-Bandar Baharu,1,ZULKIFLI BIN NOORDIN,46,male,bumiputera,PARTI KEADILAN RAKYAT (PKR),22255,1,won
Kedah,P.018 Kulim-Bandar Baharu,2,ABDUL AZIZ SHEIKH FADZIR,44,male,bumiputera,BARISAN NASIONAL (BN),16672,0,lost
Kelantan,P.019 Tumpat,1,KAMARUDIN JAFFAR,56,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),36714,1,won
Kelantan,P.019 Tumpat,2,ASYRAF WAJDI DUSUKI,31,male,bumiputera,BARISAN NASIONAL (BN),27337,0,lost
Kelantan,P.020 Pengkalan Chepa,1,ABHALIM BIN ABRAHMAN,68,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),26763,1,won
Kelantan,P.020 Pengkalan Chepa,2,RAHIM ZAIN,46,male,bumiputera,BARISAN NASIONAL (BN),15452,0,lost
Kelantan,P.021 Kota Bharu,1,WAN RAHIM,56,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),32129,1,won
Kelantan,P.021 Kota Bharu,2,MOHAMAD FATMI BIN CHE SALLEH,50,male,bumiputera,BARISAN NASIONAL (BN),20841,0,lost
Kelantan,P.022 Pasir Mas,1,IBRAHIM BIN ALI,57,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),28673,1,won
Kelantan,P.022 Pasir Mas,2,AHMAD ROSDI BIN MAHMAD,42,male,bumiputera,BARISAN NASIONAL (BN),19682,0,lost
Kelantan,P.023 Rantau Panjang,1,KAK LAH,44,female,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),19344,1,won
Kelantan,P.023 Rantau Panjang,2,AFANDI,33,male,bumiputera,BARISAN NASIONAL (BN),14858,0,lost
Kelantan,P.023 Rantau Panjang,3,ISMA AIRFATH BIN HASSANUDDIN,38,male,bumiputera,BEBAS (BEBAS),330,0,lost_deposit
Kelantan,P.024 Kubang Kerian,1,SALAHUDDIN AYUB,46,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),27179,1,won
