state,parlimen,ballot_order,name,party,votes,result,result_desc
Perlis,P.001 Padang Besar,1,IZIZAM BIN IBRAHIM,PARTI KEADILAN RAKYAT (PKR),13594,0,lost
Perlis,P.001 Padang Besar,2,DATUK ZAHIDI BIN ZAINUL ABIDIN,BARISAN NASIONAL (BN),15032,1,won
Perlis,P.001 Padang Besar,3,USTAZ MOKHTAR SENIK,PARTI ISLAM SE MALAYSIA (PAS),7874,0,lost
Perlis,P.002 Kangar,1,AMIN AHMAD,PARTI KEADILAN RAKYAT (PKR),20909,1,won
Perlis,P.002 Kangar,2,RAMLI SHARIFF,BARISAN NASIONAL (BN),15306,0,lost
Perlis,P.002 Kangar,3,USTAZ ZAHID IBRAHIM ,PARTI ISLAM SE MALAYSIA (PAS),8465,0,lost
Perlis,P.003 Arau,1,USTAZ HASHIM JASIN,PARTI ISLAM SE MALAYSIA (PAS),11362,0,lost
Perlis,P.003 Arau,2,DATO' DR. HAJI ABD RAHMAN BIN DAUD,PARTI KEADILAN RAKYAT (PKR),11691,0,lost
Perlis,P.003 Arau,3,SHAHIDAN BIN KASSIM,BARISAN NASIONAL (BN),16547,1,won
Kedah,P.004 Langkawi,1,ZUBIR BIN AHMAD,PARTI ISLAM SE MALAYSIA (PAS),5512,0,lost
Kedah,P.004 Langkawi,2,DR MAHATHIR BIN MOHAMAD,PARTI KEADILAN RAKYAT (PKR),18954,1,won
Kedah,P.004 Langkawi,3,DATO' IR. NAWAWI BIN AHMAD,BARISAN NASIONAL (BN),10061,0,lost
Kedah,P.005 Jerlun,1,ABD. GHANI BIN AHMAD,PARTI ISLAM SE MALAYSIA (PAS),12829,0,lost
Kedah,P.005 Jerlun,2,OTHMAN BIN AZIZ,BARISAN NASIONAL (BN),12413,0,lost
Kedah,P.005 Jerlun,3,MUKHRIZ MAHATHIR,PARTI KEADILAN RAKYAT (PKR),18695,1,won
Kedah,P.006 Kubang Pasu,1,DATO' SRI MOHD JOHARI BIN BAHARUM,BARISAN NASIONAL (BN),16975,0,lost
Kedah,P.006 Kubang Pasu,2,DATO' AMIRUDDIN HAMZAH,PARTI KEADILAN RAKYAT (PKR),29984,1,won
Kedah,P.006 Kubang Pasu,3,NORHAFIZA BINTI FADZIL,PARTI ISLAM SE MALAYSIA (PAS),13375,0,lost
Kedah,P.007 Padang Terap,1,USTAZ AZAM BIN AZIZ,PARTI ISLAM SE MALAYSIA (PAS),15285,0,lost
Kedah,P.007 Padang Terap,2,KHAIRIZAL KHAZALI,PARTI KEADILAN RAKYAT (PKR),7254,0,lost
Kedah,P.007 Padang Terap,3,DATO' SERI MAHDZIR KHALID,BARISAN NASIONAL (BN),16384,1,won
Kedah,P.008 Pokok Sena,1,DATO' HJ MAHFUZ OMAR,PARTI KEADILAN RAKYAT (PKR),28959,1,won
Kedah,P.008 Pokok Sena,2,DATO' SAID ALI BIN SYED RASTAN,BARISAN NASIONAL (BN),18390,0,lost
Kedah,P.008 Pokok Sena,3,RADHI MAT DIN,PARTI ISLAM SE MALAYSIA (PAS),23401,0,lost
Kedah,P.009 Alor Setar,1,AMINUR SHAFIQ,PARTI ISLAM SE MALAYSIA (PAS),17275,0,lost
Kedah,P.009 Alor Setar,2,YOO WEI HOW,BARISAN NASIONAL (BN),14181,0,lost
Kedah,P.009 Alor Setar,3,CHAN MING KAI,PARTI KEADILAN RAKYAT (PKR),32475,1,won
Kedah,P.010 Kuala Kedah,1,MUHAMAD RIDUAN BIN OTHMAN,PARTI ISLAM SE MALAYSIA (PAS),23143,0,lost
Kedah,P.010 Kuala Kedah,2,ABDULLAH HASNAN BIN KAMARUDDIN,BARISAN NASIONAL (BN),19400,0,lost
Kedah,P.010 Kuala Kedah,3,DR AZMAN ISMAIL,PARTI KEADILAN RAKYAT (PKR),36624,1,won
Kedah,P.011 Pendang,1,OTHMAN BIN ABDUL,BARISAN NASIONAL (BN),20728,0,lost
Kedah,P.011 Pendang,2,HJ. AWANG SOLAHUDIN,PARTI ISLAM SE MALAYSIA (PAS),26536,1,won
Kedah,P.011 Pendang,3,WAN SAIFUL WAN JAN,PARTI KEADILAN RAKYAT (PKR),14901,0,lost
Kedah,P.011 Pendang,4,PENGHULU MALIK,BEBAS (BEBAS),81,0,lost_deposit
Kedah,P.012 Jerai,1,USTAZ SABRI BIN AZIT,PARTI ISLAM SE MALAYSIA (PAS),22312,1,won
Kedah,P.012 Jerai,2,DATO' SERI JAMIL KHIR BIN BAHAROM,BARISAN NASIONAL (BN),21773,0,lost
Kedah,P.012 Jerai,3,AKHRAMSYAH BIN SANUSI JUNID,PARTI KEADILAN RAKYAT (PKR),21651,0,lost
Kedah,P.013 Sik,1,USTAZ TARMIZI SULAIMAN,PARTI ISLAM SE MALAYSIA (PAS),20088,1,won
Kedah,P.013 Sik,2,DR MANSOR BIN ABD RAHMAN,BARISAN NASIONAL (BN),14870,0,lost
Kedah,P.013 Sik,3,AZLI CHE UDA,PARTI KEADILAN RAKYAT (PKR),6970,0,lost
Kedah,P.014 Merbok,1,NURIN AINA,PARTI KEADILAN RAKYAT (PKR),30902,1,won
Kedah,P.014 Merbok,2,USTAZ AHMAD FAUZI,PARTI ISLAM SE MALAYSIA (PAS),19618,0,lost
Kedah,P.014 Merbok,3,DATO' TAJUL URUS HJ. MAT ZAIN,BARISAN NASIONAL (BN),20830,0,lost
Kedah,P.015 Sungai Petani,1,DATO' JOHARI ABDUL,PARTI KEADILAN RAKYAT (PKR),45532,1,won
