state,parlimen,ballot_order,name,name_display,party,votes,result,result_desc
Perlis,P.001 Padang Besar,1,Rushdan Bin Rusmi,RUSHDAN BIN RUSMI,PERIKATAN NASIONAL (PN),24267,1,won
Perlis,P.001 Padang Besar,2,Ko Chu Liang,KO CHU LIANG,PARTI WARISAN SABAH (WARISAN),244,0,lost_deposit
Perlis,P.001 Padang Besar,3,Zahidi Bin Zainul Abidin,ZAHIDI BIN ZAINUL ABIDIN,BEBAS (BEBAS),1939,0,lost_deposit
Perlis,P.001 Padang Besar,4,Zahida Binti Zarik Khan,ZAHIDA BINTI ZARIK KHAN,BARISAN NASIONAL (BN),11753,0,lost
Perlis,P.001 Padang Besar,5,Mohamad Bin Saad @ Yahaya,KAPT (B) HJ MOHAMAD YAHAYA,PAKATAN HARAPAN (PH),7085,0,lost
Perlis,P.002 Kangar,1,Zakri Bin Hassan,CIKGU ZAKRI,PERIKATAN NASIONAL (PN),24562,1,won
Perlis,P.002 Kangar,2,Fathul Bari Bin Mat Jahya,DR FATHUL BARI,BARISAN NASIONAL (BN),15370,0,lost
Perlis,P.002 Kangar,3,Rohimi Bin Shapiee,PROF. DR. ROHIMI SHAPIEE,PARTI WARISAN SABAH (WARISAN),417,0,lost_deposit
Perlis,P.002 Kangar,4,Noor Amin Bin Ahmad,AMIN AHMAD,PAKATAN HARAPAN (PH),15143,0,lost
Perlis,P.002 Kangar,5,Nur Sulaiman Bin Zolkapli,USTAZ NUR SULAIMAN,PARTI PEJUANG TANAHAIR (PEJUANG),708,0,lost_deposit
Perlis,P.003 Arau,1,Fathin Amelina Binti Fazlie,FATHIN AMELINA,PAKATAN HARAPAN (PH),7089,0,lost
Perlis,P.003 Arau,2,Shahidan Bin Kassim,SHAHIDAN BIN KASSIM,PERIKATAN NASIONAL (PN),31458,1,won
Perlis,P.003 Arau,3,Rozabil @ Rozamujib Bin Abdul Rahman,ROZABIL @ TOK BEN,BARISAN NASIONAL (BN),8242,0,lost
Kedah,P.004 Langkawi,1,Abd Kadir Bin Sainudin,DATO PADUKA ABD KADIR,BEBAS (BEBAS),89,0,lost_deposit
