state,parlimen,dun,ballot_order_x,name,name_ballot,party,acronym,age,sex,ethnicity,ballot_order_y,votes,votes_perc,result
Kedah,P.004 Langkawi,N.01 Ayer Hangat,1,SHAMSILAH BINTI SIRU,SHAMSILAH BINTI SIRU,PERIKATAN NASIONAL,PN,49,female,malay,1,10701,47.30560099023032,won
Kedah,P.004 Langkawi,N.01 Ayer Hangat,2,SAFWAN HANIF BIN SHAFIE,SAFWAN HANIF,BEBAS,BEBAS,34,male,malay,2,6877,30.4009548649485,lost
Kedah,P.004 Langkawi,N.01 Ayer Hangat,3,HISHAM SUHAILY BINTI OTHMAN,HISHAM SUHAILY BINTI OTHMAN,BARISAN NASIONAL OF MALAYSIA,BN,46,female,malay,3,4909,21.701074223067064,lost
Kedah,P.004 Langkawi,N.01 Ayer Hangat,4,ZULFADLI BIN MOHD YUSOFF,ZULFADLI BIN MOHD YUSOFF,BEBAS,BEBAS,37,male,malay,4,134,0.5923699217541223,lost_deposit
Kedah,P.004 Langkawi,N.02 Kuah,1,AMAR PARED BIN MAHAMUD,AMAR PARED BIN MAHAMUD,PERIKATAN NASIONAL,PN,32,male,malay,1,13364,64.3397043955515,won
Kedah,P.004 Langkawi,N.02 Kuah,2,AHMAD FAUZI BIN CHIK,AHMAD FAUZI BIN CHIK,PAKATAN HARAPAN,PH,63,male,malay,2,5394,25.968898945645368,lost
Kedah,P.004 Langkawi,N.02 Kuah,3,MAZLAN BIN AHMAD,MAZLAN BIN AHMAD,BEBAS,BEBAS,67,male,malay,3,2013,9.69139665880314,lost_deposit
Kedah,P.005 Jerlun,N.03 Kota Siputeh,1,MOHD ASHRAF MUSTAQIM BIN BADRUL MUNIR,MOHD ASHRAF MUSTAQIM,PERIKATAN NASIONAL,PN,37,male,malay,1,17180,79.60337318135483,won
Kedah,P.005 Jerlun,N.03 Kota Siputeh,2,SALMEE BINTI SAID,DR SALMEE BINTI SAID,PAKATAN HARAPAN,PH,57,female,malay,2,4090,18.950977666573998,lost
Kedah,P.005 Jerlun,N.03 Kota Siputeh,3,ABDUL BIN RAMLI,ABDUL BIN RAMLI @ LATIF,BEBAS,BEBAS,53,male,malay,3,312,1.4456491520711705,lost_deposit
Kedah,P.005 Jerlun,N.04 Ayer Hitam,1,HAYAZI BIN AZIZAN,HAYAZI BIN AZIZAN,BARISAN NASIONAL OF MALAYSIA,BN,44,male,malay,1,6105,21.661994819572083,lost
Kedah,P.005 Jerlun,N.04 Ayer Hitam,2,AZHAR BIN IBRAHIM,CIKGU AZHAR,PERIKATAN NASIONAL,PN,59,male,malay,2,22078,78.33800518042791,won
Kedah,P.006 Kubang Pasu,N.05 Bukit Kayu Hitam,1,HALIMATON SHAADIAH BINTI SAAD,DATO' HAJAH HALIMATON SHAADIAH SAAD (KAK TON),PERIKATAN NASIONAL,PN,53,female,malay,1,24551,72.92087442081503,won
Kedah,P.006 Kubang Pasu,N.05 Bukit Kayu Hitam,2,ZAINOL @ ZAINOL ABIDIN BIN MOHAMAD,CIKGU NON,BARISAN NASIONAL OF MALAYSIA,BN,65,male,malay,2,9117,27.079125579184982,lost
Kedah,P.006 Kubang Pasu,N.06 Jitra,1,SABRINA BINTI AHMAD,SABRINA AHMAD,PAKATAN HARAPAN,PH,45,female,malay,1,11170,24.542977676217262,lost
Kedah,P.006 Kubang Pasu,N.06 Jitra,2,HAIM HILMAN BIN ABDULLAH,DR. HAIM HILMAN ABDULLAH (PROF. HAIM),PERIKATAN NASIONAL,PN,50,male,malay,2,34342,75.45702232378274,won
Kedah,P.007 Padang Terap,N.07 Kuala Nerang,1,RIDZWAN BIN ABU BAKAR,RIDZWAN ABU BAKAR,PAKATAN HARAPAN,PH,46,male,malay,1,4215,17.653710839336572,lost
Kedah,P.007 Padang Terap,N.07 Kuala Nerang,2,MOHAMAD YUSOFF BIN ZAKARIA,HJ. MUNIR,PERIKATAN NASIONAL,PN,59,male,malay,2,19661,82.34628916066343,won
Kedah,P.007 Padang Terap,N.08 Pedu,1,MOHD RADZI BIN MD AMIN,MOHD RADZI BIN MD AMIN,PERIKATAN NASIONAL,PN,53,male,malay,1,14397,64.21212256366799,won
Kedah,P.007 Padang Terap,N.08 Pedu,2,MAHDZIR BIN KHALID,MAHDZIR BIN KHALID,BARISAN NASIONAL OF MALAYSIA,BN,62,male,malay,2,8024,35.78787743633201,lost
Kedah,P.008 Pokok Sena,N.09 Bukit Lada,1,SAID ALI BIN SAID RASTAN,SAID ALI BIN SYED RASTAN,BARISAN NASIONAL OF MALAYSIA,BN,67,male,malay,1,6772,21.876918106929413,lost
Kedah,P.008 Pokok Sena,N.09 Bukit Lada,2,SALIM BIN MAHMOOD,USTAZ SALIM MAHMOOD AL-HAFIZ,PERIKATAN NASIONAL,PN,45,male,malay,2,24183,78.12308189307059,won
Kedah,P.008 Pokok Sena,N.10 Bukit Pinang,1,ROMANI BIN WAN SALIN,DATO' WAN ROMANI,PERIKATAN NASIONAL,PN,67,male,malay,1,23041,82.81873404981849,won
Kedah,P.008 Pokok Sena,N.10 Bukit Pinang,2,HADZIR BIN MD.ZAIN,DATO' HJ. HADZIR,PAKATAN HARAPAN,PH,66,male,malay,2,4780,17.18126595018152,lost
Kedah,P.008 Pokok Sena,N.11 Derga,1,TAN KOK YEW,TAN KOK YEW,PAKATAN HARAPAN,PH,56,male,chinese,1,10771,42.330516800943215,lost
Kedah,P.008 Pokok Sena,N.11 Derga,2,NOOR AZMAN BIN BASHARON @ CHE MAN,MAN BASIRON,BEBAS,BEBAS,58,male,malay,2,241,0.9471408921202594,lost_deposit
Kedah,P.008 Pokok Sena,N.11 Derga,3,MUHAMAD AMRI BIN WAHAB,MUHAMAD AMRI,PERIKATAN NASIONAL,PN,40,male,malay,3,14433,56.72234230693653,won
Kedah,P.009 Alor Setar,N.12 Suka Menanti,1,ZAMRI BIN YUSUF,DATO' ZAMRI YUSUF,PAKATAN HARAPAN,PH,57,male,malay,1,10151,35.55890286194697,lost
Kedah,P.009 Alor Setar,N.12 Suka Menanti,2,DZOWAHIR BIN AB GHANI,DZOWAHIR BIN AB GHANI,PERIKATAN NASIONAL,PN,66,male,malay,2,18396,64.44109713805304,won
Kedah,P.009 Alor Setar,N.13 Kota Darul Aman,1,CHUAH SEE SENG,CHUAH SEE SENG,PERIKATAN NASIONAL,PN,49,male,chinese,1,5528,33.08990781755058,lost
Kedah,P.009 Alor Setar,N.13 Kota Darul Aman,2,TEH SWEE LEONG,TEH SWEE LEONG,PAKATAN HARAPAN,PH,34,male,chinese,2,11178,66.91009218244942,won
Kedah,P.009 Alor Setar,N.14 Alor Mengkudu,1,MUHAMAD RADHI BIN MAT DIN,RADHI MAT DIN,PERIKATAN NASIONAL,PN,58,male,malay,1,18936,68.19360414866033,won
Kedah,P.009 Alor Setar,N.14 Alor Mengkudu,2,MAHFUZ BIN OMAR,DATO' WIRA MAHFUZ OMAR,PAKATAN HARAPAN,PH,65,male,malay,2,8832,31.80639585133967,lost
Kedah,P.010 Kuala Kedah,N.15 Anak Bukit,1,RASHIDI BIN RAZAK,RASHIDI BIN RAZAK,PERIKATAN NASIONAL,PN,58,male,malay,1,21738,78.63266413456321,won
Kedah,P.010 Kuala Kedah,N.15 Anak Bukit,2,NOOR HASITA BINTI MAT ISA,DATIN NOOR HASITA,BARISAN NASIONAL OF MALAYSIA,BN,55,female,malay,2,5907,21.367335865436786,lost
