state,parlimen,dun,code_state,code_parlimen,code_dun,code_state_dun,year,area_km2,population_total,nationality_citizen,nationality_non_citizen,sex_male,sex_female,ethnicity_proportion_bumi,ethnicity_proportion_chinese,ethnicity_proportion_indian,ethnicity_proportion_other,age_proportion_0_14,age_proportion_15_64,age_proportion_65_above,age_proportion_18_above,housing_total,household_total,household_size_avg,live_births,live_births_male,live_births_female,deaths,deaths_male,deaths_female,labour_participation_rate,labour_unemployment_rate,income_median,income_avg,expenditure_avg,gini,poverty_incidence,sme_small,sme_micro,sme_medium,businesses_agriculture,businesses_crops,businesses_livestock,businesses_fisheries,businesses_forestry,businesses_mining,businesses_manufacturing,businesses_construction,businesses_services,utilities_pipedwater_home,utilities_pipedwater_public,utilities_pipedwater_other,utilities_electricity_home,utilities_electricity_none
Perlis,P.001 Padang Besar,N.01 Titi Tinggi,9,P.001,N.01,9_N.01,2020,120,18696,18193,503,9865,8831,80.6,15.5,2.9,1,21.1,71.4,7.5,71,5325,4723,3.5,302,143,159,144,74,70,66,5.2,4417,4662,3333,0.305,7.6,62,704,5,11,8,3,0,0,3,17,33,711,100,0,0,100,0
Perlis,P.001 Padang Besar,N.02 Beseri,9,P.001,N.02,9_N.02,2020,133,18129,17060,1069,9100,9029,93.3,5.1,0.6,1,20.9,71.3,7.7,69.8,5093,4988,3.5,240,120,120,114,61,53,60,2.7,4066,4696,3022,0.325,8.6,53,452,2,12,10,2,0,0,0,29,61,406,99.4,0,0.6,100,0
Perlis,P.001 Padang Besar,N.03 Chuping,9,P.001,N.03,9_N.03,2020,150,24239,23392,847,12615,11624,84.7,3.8,2.9,8.5,24,68.4,7.7,66.9,5991,6288,3.7,326,161,165,155,82,73,62.3,2.9,4016,4681,3123,0.292,2.7,11,393,,10,5,5,0,0,0,21,58,317,99.4,0,0.6,100,0
Perlis,P.001 Padang Besar,N.04 Mata Ayer,9,P.001,N.04,9_N.04,2020,20,11883,11793,90,6024,5859,97.6,1.2,0.6,0.7,20.7,70.5,8.9,69.3,2939,3274,3.6,157,79,78,75,40,35,60.8,5.1,4621,5352,3533,0.27,0,20,313,1,3,3,0,0,0,0,19,59,253,100,0,0,100,0
Perlis,P.001 Padang Besar,N.05 Santan,9,P.001,N.05,9_N.05,2020,27,13851,13636,215,6883,6968,99.7,0.1,0,0.1,20.5,68.6,10.9,70.5,3678,4114,3.3,184,95,89,87,48,39,64.5,4.9,4043,4801,2995,0.338,5.3,23,332,,10,8,2,0,0,0,16,58,270,100,0,0,100,0
Perlis,P.002 Kangar,N.06 Bintong,9,P.002,N.06,9_N.06,2020,66,28003,27392,611,13809,14194,95.2,3,1.6,0.2,21.9,70.8,7.3,69.4,7229,7380,3.6,418,217,201,199,111,88,62.2,1.7,4547,5711,3328,0.344,4.4,73,648,2,12,7,1,4,0,2,34,168,509,98.5,1,0.5,100,0
Perlis,P.002 Kangar,N.07 Sena,9,P.002,N.07,9_N.07,2020,19,20321,19682,639,10012,10309,86.8,5.1,3.2,4.9,21.6,69.1,9.4,71,6498,5773,3.4,320,167,153,152,85,67,65.8,5.2,4920,6598,4284,0.413,5.2,151,959,12,18,11,4,2,1,1,59,155,894,100,0,0,100,0
Perlis,P.002 Kangar,N.08 Indera Kayangan,9,P.002,N.08,9_N.08,2020,6,16419,16261,158,8082,8337,75.1,20.2,2.3,2.4,22.5,68.6,8.9,69.7,5196,4806,3.4,252,131,121,120,67,53,60.1,4.4,5021,6042,4209,0.334,0.9,215,1145,11,11,6,3,1,1,3,96,147,1145,100,0,0,100,0
Perlis,P.002 Kangar,N.09 Kuala Perlis,9,P.002,N.09,9_N.09,2020,21,19880,19225,655,9999,9881,80.5,18.8,0.2,0.6,21.2,71.9,6.8,70.1,5483,5594,3.6,280,142,138,133,72,61,61.6,3.6,4062,5129,3250,0.33,7.6,106,745,4,24,3,2,17,2,0,61,101,670,99.3,0.7,0,100,0
Perlis,P.002 Kangar,N.10 Kayang,9,P.002,N.10,9_N.10,2020,29,16132,15919,213,7973,8159,95.2,4.4,0.2,0.2,22,68.9,9.1,69.5,4205,4443,3.6,224,116,108,107,59,48,64.2,6.9,6313,6357,3650,0.244,0.6,91,528,2,7,5,0,2,0,0,51,111,456,98.6,1.4,0,100,0
Perlis,P.003 Arau,N.11 Pauh,9,P.003,N.11,9_N.11,2020,51,39618,39367,251,19378,20240,85,9.5,4.7,0.9,13,82.8,4.2,81.6,7098,13970,3.4,591,313,278,282,160,122,62.9,6.4,4854,5805,3696,0.325,0.5,75,767,1,13,10,2,1,0,1,42,97,688,99.5,0.5,0,100,0
Perlis,P.003 Arau,N.12 Tambun Tulang,9,P.003,N.12,9_N.12,2020,51,20600,19663,937,10208,10392,86.5,6.2,1.4,6,20,71.7,8.4,69.9,4915,5616,3.6,265,137,128,126,70,56,65.9,2.8,4967,5670,3493,0.287,1.2,61,574,3,9,5,3,1,0,0,37,122,472,100,0,0,100,0
Perlis,P.003 Arau,N.13 Guar Sanji,9,P.003,N.13,9_N.13,2020,45,12171,12073,98,6048,6123,98.4,1.1,0.2,0.2,23.6,67,9.3,69.4,3364,3202,3.8,183,94,89,87,48,39,61.5,1.9,4082,4905,3216,0.276,1.4,18,294,1,9,8,1,0,0,0,17,43,245,100,0,0,100,0
Perlis,P.003 Arau,N.14 Simpang Empat,9,P.003,N.14,9_N.14,2020,37,14694,14591,103,7230,7464,93.7,5.4,0.7,0.3,20.4,70.4,9.2,70.8,3499,3904,3.6,207,112,95,99,57,42,60,2.2,3833,4450,2769,0.331,3.6,20,473,2,8,8,0,0,0,0,25,80,381,100,0,0,100,0
Perlis,P.003 Arau,N.15 Sanglang,9,P.003,N.15,9_N.15,2020,38,10249,10208,41,5119,5130,95.6,4,0.1,0.2,22.2,67.3,10.5,70.2,2591,2775,3.7,149,77,72,70,39,31,67.9,6.7,4195,4943,2886,0.318,2.8,11,273,,12,7,2,2,1,0,17,51,201,100,0,0,100,0
Kedah,P.004 Langkawi,N.01 Ayer Hangat,2,P.004,N.01,2_N.01,2020,298,44555,42117,2438,23295,21260,96.3,0.7,1.9,1,24.2,69.8,5.9,71.4,14652,11819,3.7,702,363,339,283,158,125,68.3,6.6,5743,6131,2993,0.249,0.9,313,1995,28,20,10,0,9,1,2,97,211,2028,100,0,0,100,0
Kedah,P.004 Langkawi,N.02 Kuah,2,P.004,N.02,2_N.02,2020,171,49583,47898,1685,25399,24184,87.9,9,1.9,1.1,25.2,69.7,5,70.2,18373,14164,3.5,807,411,396,326,181,145,68.7,6.9,6602,7193,3632,0.289,0.9,410,1358,28,11,4,1,5,1,3,65,79,1684,99.1,0,0.9,100,0
Kedah,P.005 Jerlun,N.03 Kota Siputeh,2,P.005,N.03,2_N.03,2020,150,32057,31625,432,15875,16182,94.3,4.4,0.1,1.2,20.3,66.7,13.1,73.6,9229,8155,3.9,512,269,243,207,118,89,62.4,4.4,3961,4996,2608,0.315,7,47,583,,6,1,2,2,1,0,36,16,573,100,0,0,100,0
Kedah,P.005 Jerlun,N.04 Ayer Hitam,2,P.005,N.04,2_N.04,2020,166,34029,33782,247,16902,17127,92.7,3.9,0.1,3.3,20.5,63.7,15.7,74.2,10802,8437,4,552,290,262,224,128,96,60.4,2.8,4276,4848,2967,0.269,6.4,66,550,4,11,6,1,4,0,0,56,42,513,98.2,0,1.8,100,0
Kedah,P.006 Kubang Pasu,N.05 Bukit Kayu Hitam,2,P.006,N.05,2_N.05,2020,459,76577,72567,4010,36932,39645,89.8,6.5,2.6,1,21.1,71.3,7.6,75,21968,18278,3.8,"1,360",757,603,554,333,221,64.5,5.7,4511,5710,3529,0.346,3.7,223,1592,16,40,31,6,1,2,2,129,96,1590,100,0,0,100,0
Kedah,P.006 Kubang Pasu,N.06 Jitra,2,P.006,N.06,2_N.06,2020,175,94798,92580,2218,47464,47334,87.6,8.1,3.2,1.2,24.2,67.9,7.9,70.4,30367,23746,4,"1,532",793,739,620,349,271,59.1,2.2,5468,7300,4799,0.376,4.6,365,2388,28,31,16,9,3,3,4,202,196,2396,100,0,0,100,0
Kedah,P.007 Padang Terap,N.07 Kuala Nerang,2,P.007,N.07,2_N.07,2020,667,34425,33150,1275,17757,16668,97.7,0.8,0,1.5,24.9,65.2,9.9,70.2,10550,8605,3.9,545,276,269,221,122,99,66.6,4.8,4017,5255,3983,0.33,5.9,77,771,7,15,13,1,0,1,1,38,57,753,100,0,0,100,0
Kedah,P.007 Padang Terap,N.08 Pedu,2,P.007,N.08,2_N.08,2020,690,31561,29522,2039,16605,14956,84.9,0.7,0.1,14.3,23.3,67,9.6,70.8,8569,7450,4.2,514,256,258,208,113,95,64.2,3.5,3501,4222,2845,0.266,12.9,15,252,1,6,4,2,0,0,0,17,8,239,100,0,0,100,0
Kedah,P.008 Pokok Sena,N.09 Bukit Lada,2,P.008,N.09,2_N.09,2020,228,47584,45622,1962,26189,21395,92.3,5.2,1.7,0.9,22.3,67.6,10.1,73.3,14524,11504,3.8,773,365,408,309,160,149,68.4,4.1,4236,5004,3131,0.306,7.7,99,835,9,27,17,7,1,2,2,61,51,805,100,0,0,100,0
Kedah,P.008 Pokok Sena,N.10 Bukit Pinang,2,P.008,N.10,2_N.10,2020,81,41388,39890,1498,20264,21124,94.3,4.4,1.2,0.2,22.5,66.6,10.9,72.7,13364,11738,3.5,634,334,300,257,147,110,63.6,4.8,4884,5945,3964,0.311,6.6,734,3922,49,104,69,17,13,5,5,187,893,3570,100,0,0,100,0
Kedah,P.008 Pokok Sena,N.11 Derga,2,P.008,N.11,2_N.11,2020,13,44085,42760,1325,21911,22174,69,27,3.6,0.5,25.6,62.3,12.1,70,13485,11560,3.8,697,367,330,282,161,121,64.8,5,4420,5704,3554,0.366,6,207,1175,9,11,7,1,2,1,2,70,114,1207,100,0,0,100,0
Kedah,P.009 Alor Setar,N.12 Suka Menanti,2,P.009,N.12,2_N.12,2020,24,56156,50625,5531,27592,28564,73,23.7,3.1,0.3,22.2,68.1,9.7,72.4,14935,13811,3.8,779,409,370,315,180,135,62,6.2,4494,5531,4171,0.311,3.9,673,1959,43,31,14,4,8,5,5,215,201,2284,100,0,0,100,0
Kedah,P.009 Alor Setar,N.13 Kota Darul Aman,2,P.009,N.13,2_N.13,2020,7,14528,14188,340,7209,7319,50.5,43.9,5.1,0.5,22.3,63.9,13.9,72.7,6073,4210,3.4,236,124,112,96,55,41,65.4,7.2,5773,4532,4043,0.252,0,970,2800,41,56,32,9,8,7,32,214,301,3325,100,0,0,100,0
