state,parlimen,code_state,code_parlimen,year,area_km2,population_total,nationality_citizen,nationality_non_citizen,sex_male,sex_female,ethnicity_proportion_bumi,ethnicity_proportion_chinese,ethnicity_proportion_indian,ethnicity_proportion_other,age_proportion_0_14,age_proportion_15_64,age_proportion_65_above,age_proportion_18_above,housing_total,household_total,household_size_avg,live_births,live_births_male,live_births_female,deaths,deaths_male,deaths_female,labour_participation_rate,labour_unemployment_rate,income_median,income_avg,expenditure_avg,gini,poverty_incidence,sme_small,sme_micro,sme_medium,businesses_agriculture,businesses_crops,businesses_livestock,businesses_fisheries,businesses_forestry,businesses_mining,businesses_manufacturing,businesses_construction,businesses_services,utilities_pipedwater_home,utilities_pipedwater_public,utilities_pipedwater_other,utilities_electricity_home,utilities_electricity_none
Perlis,P.001 Padang Besar,9,P.001,2020,450,86798,84074,2724,44487,42311,89.80184124,5.640269287,1.648547708,2.90934177,21.7,70,8.3,69.3,23026,23387,3.5,1209,598,611,575,305,270,62.9,4.1,4075,4747,3154,0.31,5.7,8,169,2194,46,34,12,0,0,3,102,269,1957,99.7,0,0.3,100,0
Perlis,P.002 Kangar,9,P.002,2020,141,100755,98479,2276,49875,50880,87.33029377,9.576661014,1.518090151,1.574955067,21.8,70,8.2,70,28611,27996,3.5,1494,773,721,711,394,317,62.8,4,4889,5899,3694,0.35,4.2,31,636,4025,72,32,10,26,4,6,301,682,3674,99.4,0.5,0.1,100,0
Perlis,P.003 Arau,9,P.003,2020,222,97332,95902,1430,47983,49349,89.41732185,6.576505182,2.338845905,1.667327063,17.9,75,7.1,74.8,21467,29467,3.6,1395,733,662,664,374,290,63.3,4.7,4594,5411,3381,0.31,1.4,7,185,2381,51,38,8,4,1,1,138,393,1987,99.8,0.2,0,100,0
Kedah,P.004 Langkawi,2,P.004,2020,469,94138,90015,4123,48694,45444,91.86024551,5.122479587,1.934122091,1.083152808,24.8,69.8,5.4,70.8,33025,25983,3.6,1509,774,735,609,339,270,68.5,6.8,5905,6737,3334,0.28,0.9,56,723,3353,31,14,1,14,2,5,162,290,3712,99.5,0,0.5,100,0
Kedah,P.005 Jerlun,2,P.005,2020,316,66086,65407,679,32777,33309,93.45941566,4.178451848,0.085617747,2.276514746,20.4,65.2,14.4,73.9,20031,16592,4,1064,559,505,431,246,185,61.3,3.6,4106,4919,2768,0.29,6.7,4,113,1133,17,7,3,6,1,0,92,58,1086,99,0,1,100,0
Kedah,P.006 Kubang Pasu,2,P.006,2020,634,171375,165147,6228,84396,86979,88.56110011,7.38735793,2.939805143,1.111736816,22.8,69.4,7.7,72.5,52335,42024,3.9,2892,1550,1342,1174,682,492,61.7,4,5060,6673,4360,0.37,4.3,44,588,3980,71,47,15,4,5,6,331,292,3986,100,0,0,100,0
Kedah,P.007 Padang Terap,2,P.007,2020,1357,65986,62672,3314,34362,31624,91.66453919,0.793017616,0.044677049,7.497766148,24.1,66.1,9.8,70.5,19119,16055,4.1,1059,532,527,429,235,194,65.4,4.2,3722,4781,3419,0.31,9.1,8,92,1023,21,17,3,0,1,1,55,65,992,100,0,0,100,0
Kedah,P.008 Pokok Sena,2,P.008,2020,322,133057,128272,4785,68364,64693,85.15264438,12.1827055,2.150898092,0.513752027,23.5,65.5,11,72,41373,34802,3.7,2104,1066,1038,848,468,380,65.8,4.6,4443,5522,3564,0.33,6.8,67,1040,5932,142,93,25,16,8,9,318,1058,5582,100,0,0,100,0
Kedah,P.009 Alor Setar,2,P.009,2020,111,119010,112474,6536,58863,60147,68.52072479,28.1345022,3.000693494,0.344079521,22.9,66.8,10.2,71.9,35093,30140,3.8,1795,941,854,726,414,312,61.9,5.5,4543,5540,4146,0.32,4.9,90,1786,5621,98,53,13,19,13,38,500,566,6478,100,0,0,100,0
Kedah,P.010 Kuala Kedah,2,P.010,2020,233,172099,167709,4390,86260,85839,75.58628338,22.93257965,1.150206608,0.330930362,26,64.4,9.7,69,48799,43175,3.9,2686,1399,1287,1087,615,472,61.2,5.2,4405,5912,4183,0.38,7.3,50,732,4020,79,30,12,30,7,5,371,300,4083,100,0,0,100,0
Kedah,P.011 Pendang,2,P.011,2020,629,99363,97451,1912,52673,46690,90.80974028,2.906075874,0.423802732,5.860381115,28,62.3,9.6,67.2,29702,24165,4.1,1600,793,807,645,349,296,64.2,4.9,3765,4680,2798,0.31,8.1,10,179,2031,43,32,9,2,0,3,159,89,1946,100,0,0,100,0
Kedah,P.012 Jerai,2,P.012,2020,458,126200,124620,1580,63997,62203,87.48194511,7.473920719,4.795377949,0.248756219,27.3,62.4,10.2,66.9,34551,30131,4.2,1965,1015,950,793,446,347,60.3,2.9,3313,4404,2635,0.38,14.9,26,385,2689,65,38,17,6,4,2,236,176,2642,100,0,0,100,0
Kedah,P.013 Sik,2,P.013,2020,1645,67640,65525,2115,34538,33102,94.07706982,0.782907287,0.086989699,5.053033193,23.2,64.8,11.9,71.4,19044,17335,3.8,1087,563,524,439,248,191,61.1,2.8,4096,4960,2921,0.32,7.6,3,86,860,20,11,5,4,0,1,69,76,793,91.9,0.5,7.6,100,0
Kedah,P.014 Merbok,2,P.014,2020,451,216357,204839,11518,110726,105631,74.0518163,13.49254781,12.09340018,0.362235707,25.7,68.5,5.8,69.7,66891,52104,3.9,3498,1859,1639,1417,817,600,60.5,4.2,4350,5967,3394,0.4,11.1,98,1458,6998,259,171,35,36,17,19,845,818,6765,99.7,0.3,0,100,0
Kedah,P.015 Sungai Petani,2,P.015,2020,261,275439,252746,22693,142830,132609,69.18329073,19.31029571,11.03716775,0.469245804,26.6,68.2,5.1,68.6,83034,66451,4,4277,2243,2034,1733,987,746,60.3,3.6,4373,5745,3255,0.36,9.2,62,1113,4878,94,43,13,21,17,20,495,275,5264,100,0,0,100,0
