state,parlimen,undi_keluar_peti,undi_dalam_peti,undi_tak_kembali,undi_tolak,majoriti,peratus_keluar,undi_rosak,pengundi_jumlah,pengundi_tidak_hadir,rosak_vs_keseluruhan,rosak_vs_majoriti,tidakhadir_vs_majoriti
Perlis,P.001 Padang Besar,29310,29308,2,674,5348,80.05,676,36614,7304,2.3063800750597068,12.640239341810023,136.57442034405386
Perlis,P.002 Kangar,34946,34779,167,808,13671,80.17,975,43589,8643,2.790018886281692,7.131885012069344,63.22141759929778
Perlis,P.003 Arau,33276,33188,88,586,300,83.45,674,39875,6599,2.025483832191369,224.66666666666666,2199.6666666666665
Kedah,P.004 Langkawi,23273,23224,49,670,4970,78.71,719,29568,6295,3.089416920895458,14.466800804828974,126.65995975855131
Kedah,P.005 Jerlun,37297,37242,55,599,2205,81.95,654,45511,8214,1.7534922379816071,29.65986394557823,372.5170068027211
Kedah,P.006 Kubang Pasu,42353,42226,127,928,7060,79.43,1055,53321,10968,2.4909687625433854,14.943342776203966,155.3541076487252
Kedah,P.007 Padang Terap,30445,30407,38,770,369,86.0,808,35401,4956,2.653966168500575,218.970189701897,1343.089430894309
Kedah,P.008 Pokok Sena,55318,54682,636,1039,5731,79.44,1675,69634,14316,3.0279475035250734,29.227010992845926,249.79933693945208
Kedah,P.009 Alor Setar,43206,43055,151,1757,184,73.28,1908,58960,15754,4.4160533259269545,1036.9565217391305,8561.95652173913
Kedah,P.010 Kuala Kedah,65750,65745,5,1385,7018,79.09,1390,83133,17383,2.1140684410646386,19.806212596181247,247.6916500427472
Kedah,P.011 Pendang,51645,51540,105,991,4073,84.19,1096,61343,9698,2.1221802691451255,26.908912349619445,238.10459121041
Kedah,P.012 Jerai,51913,51791,122,1070,2299,78.97,1192,65737,13824,2.29614932675823,51.84862983906046,601.3049151805133
Kedah,P.013 Sik,33859,33752,107,505,481,83.94,612,40337,6478,1.8074957913700938,127.23492723492724,1346.7775467775468
Kedah,P.014 Merbok,49718,49322,396,1338,3098,77.15,1734,64443,14725,3.487670461402309,55.97159457714655,475.30664945125886
Kedah,P.015 Sungai Petani,59378,59249,129,986,9381,77.84,1115,76282,16904,1.8777998585334637,11.885726468393562,180.19400916746616
Kedah,P.016 Baling,65764,65689,75,1154,7613,83.47,1229,78787,13023,1.8688036007542121,16.14343885459083,171.06265598318666
Kedah,P.017 Padang Serai,47124,47069,55,1259,11738,79.58,1314,59215,12091,2.7883880825057297,11.194411313682059,103.0073266314534
Kedah,P.018 Kulim-Bandar Baharu,40182,39949,233,1022,5583,77.28,1255,51995,11813,3.1232890348912448,22.47895396740104,211.58875156725773
Kelantan,P.019 Tumpat,65254,65083,171,1032,9377,81.49,1203,80076,14822,1.8435651454316977,12.829263090540685,158.06761224272154
Kelantan,P.020 Pengkalan Chepa,43049,42779,270,564,11311,82.23,834,52351,9302,1.937327231759158,7.373353372822916,82.23852886570594
Kelantan,P.021 Kota Bharu,53710,53579,131,609,11288,78.68,740,68263,14553,1.3777695028858685,6.555634301913536,128.92452161587528
Kelantan,P.022 Pasir Mas,49344,49219,125,864,8991,82.74,989,59637,10293,2.004296368352789,10.999888777666555,114.48114781448115
Kelantan,P.023 Rantau Panjang,35451,35369,82,837,4486,78.11,919,45385,9934,2.5923105131025923,20.485956308515384,221.44449398127506
Kelantan,P.024 Kubang Kerian,44474,44354,120,638,10642,83.14,758,53492,9018,1.704366596213518,7.122721292990039,84.73971058071791
Kelantan,P.025 Bachok,55724,55580,144,811,2901,85.98,955,64810,9086,1.7138037470389778,32.919682867976555,313.20234401930367
Kelantan,P.026 Ketereh,44377,44069,308,993,400,84.95,1301,52238,7861,2.9316988530094417,325.25,1965.25
Kelantan,P.027 Tanah Merah,36126,36027,99,1064,1584,81.46,1163,44348,8222,3.2192880473896914,73.42171717171718,519.0656565656566
Kelantan,P.028 Pasir Puteh,53778,53648,130,886,3968,83.52,1016,64389,10611,1.8892483915355722,25.60483870967742,267.414314516129
Kelantan,P.029 Machang,41494,41370,124,748,1460,84.41,872,49157,7663,2.1015086518532797,59.726027397260275,524.8630136986302
Kelantan,P.030 Jeli,30555,30374,181,474,4436,84.18,655,36297,5742,2.143675339551628,14.765554553651938,129.44093778178538
Kelantan,P.031 Kuala Krai,43013,42896,117,756,4984,82.32,873,52250,9237,2.0296189524097366,17.51605136436597,185.3330658105939
Kelantan,P.032 Gua Musang,24283,24221,62,489,4394,83.77,551,28987,4704,2.2690771321500636,12.539827036868456,107.05507510241239
Terengganu,P.033 Besut,49303,48830,473,668,10590,84.49,1141,58353,9050,2.314260795489118,10.774315391879131,85.45797922568461
Terengganu,P.034 Setiu,46821,46821,0,833,7232,85.88,833,54519,7698,1.7791162085389036,11.518252212389381,106.44358407079646
Terengganu,P.035 Kuala Nerus,52539,52250,289,713,1341,85.83,1002,61212,8673,1.9071546850910752,74.72035794183445,646.7561521252796
Terengganu,P.036 Kuala Terengganu,66231,66112,119,931,628,82.45,1050,80328,14097,1.5853603297549486,167.19745222929936,2244.745222929936
Terengganu,P.037 Marang,65008,64929,79,806,2747,86.89,885,74816,9808,1.3613709081959144,32.21696396068438,357.0440480524208
Terengganu,P.038 Hulu Terengganu,45971,45817,154,709,10460,87.54,863,52514,6543,1.8772704531117443,8.250478011472277,62.552581261950294
Terengganu,P.039 Dungun,54464,54464,0,930,4994,83.98,930,64853,10389,1.7075499412455935,18.622346816179416,208.02963556267522
Terengganu,P.040 Kemaman,62868,62792,76,1077,12683,83.82,1153,75003,12135,1.8340013997582234,9.090909090909092,95.67925569660176
Pulau Pinang,P.041 Kepala Batas,36328,36278,50,634,11246,84.45,684,43017,6689,1.882845188284519,6.082162546683265,59.47892584029877
Pulau Pinang,P.042 Tasek Gelugor,37308,36949,359,600,4547,83.9,959,44467,7159,2.570494263964833,21.090829118099848,157.44446888058062
Pulau Pinang,P.043 Bagan,46227,46192,35,766,22070,77.84,801,59387,13160,1.7327535855668768,3.6293611236973264,59.6284549161758
Pulau Pinang,P.044 Permatang Pauh,47963,47934,29,636,13398,82.06,665,58448,10485,1.3864854158413777,4.963427377220481,78.25794894760412
Pulau Pinang,P.045 Bukit Mertajam,50823,50798,25,931,25897,79.31,956,64081,13258,1.8810381126655253,3.691547283469128,51.19511912576746
Pulau Pinang,P.046 Batu Kawan,37292,37289,3,640,9485,78.71,643,47378,10086,1.7242303979405773,6.779124934106484,106.33632050606221
Pulau Pinang,P.047 Nibong Tebal,38129,38117,12,784,3087,80.2,796,47542,9413,2.0876498203467175,25.785552316164562,304.9238743116294
Pulau Pinang,P.048 Bukit Bendera,47105,47016,89,642,16112,72.98,731,64545,17440,1.5518522449846088,4.536991062562066,108.24230387288978
