state,parlimen,pengundi_jumlah,undi_dalam_peti,majoriti
Perlis,P.001 Padang Besar,60192,45288,12514
Perlis,P.002 Kangar,74859,56200,9192
Perlis,P.003 Arau,60876,46789,23216
Kedah,P.004 Langkawi,66777,47480,13518
Kedah,P.005 Jerlun,67601,52207,20456
Kedah,P.006 Kubang Pasu,108217,83402,31584
Kedah,P.007 Padang Terap,59806,48629,10959
Kedah,P.008 Pokok Sena,114838,87944,31751
Kedah,P.009 Alor Setar,105994,76986,9931
Kedah,P.010 Kuala Kedah,132500,100475,28061
Kedah,P.011 Pendang,94547,75594,31289
Kedah,P.012 Jerai,105001,82293,33192
Kedah,P.013 Sik,63126,51161,21787
Kedah,P.014 Merbok,132444,102544,21019
Kedah,P.015 Sungai Petani,168847,130004,1115
Kedah,P.016 Baling,132099,109064,29137
Kedah,P.017 Padang Serai,133867,,
Kedah,P.018 Kulim-Bandar Baharu,90141,70340,13061
Kelantan,P.019 Tumpat,149371,104659,34793
Kelantan,P.020 Pengkalan Chepa,106982,77761,38270
Kelantan,P.021 Kota Bharu,115450,78019,22613
Kelantan,P.022 Pasir Mas,94544,65153,30717
Kelantan,P.023 Rantau Panjang,93248,60527,20636
Kelantan,P.024 Kubang Kerian,113640,81384,40847
Kelantan,P.025 Bachok,123183,89417,29901
Kelantan,P.026 Ketereh,85281,62862,23107
Kelantan,P.027 Tanah Merah,98782,69686,44485
Kelantan,P.028 Pasir Puteh,113070,80978,29109
Kelantan,P.029 Machang,88825,65114,10154
Kelantan,P.030 Jeli,59798,42953,12464
Kelantan,P.031 Kuala Krai,92335,64681,25188
Kelantan,P.032 Gua Musang,70254,48377,163
Terengganu,P.033 Besut,111650,85364,18666
Terengganu,P.034 Setiu,107294,84832,19032
Terengganu,P.035 Kuala Nerus,105952,87628,29765
Terengganu,P.036 Kuala Terengganu,123305,96552,40907
Terengganu,P.037 Marang,131756,109068,41729
Terengganu,P.038 Hulu Terengganu,87917,72008,15734
Terengganu,P.039 Dungun,115559,91269,34105
Terengganu,P.040 Kemaman,139423,113095,27179
Pulau Pinang,P.041 Kepala Batas,83081,69302,2867
Pulau Pinang,P.042 Tasek Gelugor,80868,67112,12252
Pulau Pinang,P.043 Bagan,89447,68654,49648
Pulau Pinang,P.044 Permatang Pauh,107186,87448,5272
Pulau Pinang,P.045 Bukit Mertajam,120819,92745,57685
Pulau Pinang,P.046 Batu Kawan,88812,68831,40400
Pulau Pinang,P.047 Nibong Tebal,100062,79308,16293
Pulau Pinang,P.048 Bukit Bendera,92521,62489,42610
Pulau Pinang,P.049 Tanjong,52803,37683,28754
Pulau Pinang,P.050 Jelutong,93989,70707,38604
Pulau Pinang,P.051 Bukit Gelugor,117134,86073,63112
Pulau Pinang,P.052 Bayan Baru,119640,89708,34902
Pulau Pinang,P.053 Balik Pulau,80264,63911,1582
Perak,P.054 Gerik,47565,34612,1377
Perak,P.055 Lenggong,36950,27679,879
Perak,P.056 Larut,65719,51875,11598
Perak,P.057 Parit Buntar,68502,52903,5395
Perak,P.058 Bagan Serai,80293,62533,18551
Perak,P.059 Bukit Gantang,94253,71567,12756
Perak,P.060 Taiping,121566,84769,25529
Perak,P.061 Padang Rengas,38686,29878,3046
Perak,P.062 Sungai Siput,72395,51649,1846
Perak,P.063 Tambun,160558,124769,3736
Perak,P.064 Ipoh Timor,118178,79780,43888
Perak,P.065 Ipoh Barat,114654,78356,56667
Perak,P.066 Batu Gajah,111896,74955,53836
Perak,P.067 Kuala Kangsar,46985,35754,3566
Perak,P.068 Beruas,108249,72173,33971
Perak,P.069 Parit,47915,37545,2155
Perak,P.070 Kampar,89894,59386,14330
Perak,P.071 Gopeng,143657,103638,27148
Perak,P.072 Tapah,61946,44481,5064
Perak,P.073 Pasir Salak,74761,57023,5003
Perak,P.074 Lumut,92972,71162,363
Perak,P.075 Bagan Datuk,58183,41856,348
Perak,P.076 Teluk Intan,87222,64194,15169
Perak,P.077 Tanjong Malim,93873,69671,3541
Pahang,P.078 Cameron Highlands,46020,33265,4544
Pahang,P.079 Lipis,47124,35855,6118
Pahang,P.080 Raub,75064,56235,4357
Pahang,P.081 Jerantut,87051,66754,8092
Pahang,P.082 Indera Mahkota,120549,93379,8399
Pahang,P.083 Kuantan,87597,67762,2866
Pahang,P.084 Paya Besar,79744,61983,1317
Pahang,P.085 Pekan,119443,93041,8949
Pahang,P.086 Maran,53128,41092,1821
Pahang,P.087 Kuala Krau,60537,47753,1024
Pahang,P.088 Temerloh,106829,82637,5520
Pahang,P.089 Bentong,87058,66657,692
Pahang,P.090 Bera,77669,59548,16695
Pahang,P.091 Rompin,89131,66927,1438
Selangor,P.092 Sabak Bernam,51609,40977,5056
Selangor,P.093 Sungai Besar,64382,51070,2721
Selangor,P.094 Hulu Selangor,154317,122442,1562
Selangor,P.095 Tanjong Karang,62194,51205,2180
Selangor,P.096 Kuala Selangor,102951,86481,1002
Selangor,P.097 Selayang,181539,144881,23619
Selangor,P.098 Gombak,206744,165426,12729
Selangor,P.099 Ampang,133494,104430,29681
Selangor,P.100 Pandan,148730,115656,48296
Selangor,P.101 Hulu Langat,166902,136789,14896
Selangor,P.102 Bangi,303430,244291,69701
Selangor,P.103 Puchong,152861,120949,57957
Selangor,P.104 Subang,230940,177983,115074
Selangor,P.105 Petaling Jaya,195148,145862,50575
Selangor,P.106 Damansara,239103,174937,124619
Selangor,P.107 Sungai Buloh,158090,129639,2693
Selangor,P.108 Shah Alam,165744,135770,18095
Selangor,P.109 Kapar,189369,158030,11782
Selangor,P.110 Klang,208913,163905,91801
Selangor,P.111 Kota Raja,244712,197740,73998
Selangor,P.112 Kuala Langat,148637,123860,1833
Selangor,P.113 Sepang,168039,137955,8949
W.P. Kuala Lumpur,P.114 Kepong,94285,72319,61081
W.P. Kuala Lumpur,P.115 Batu,113863,87146,22241
W.P. Kuala Lumpur,P.116 Wangsa Maju,120323,92740,20696
W.P. Kuala Lumpur,P.117 Segambut,119652,85496,59684
W.P. Kuala Lumpur,P.118 Setiawangsa,95753,74764,12164
W.P. Kuala Lumpur,P.119 Titiwangsa,80747,60858,4632
W.P. Kuala Lumpur,P.120 Bukit Bintang,79782,52936,38977
W.P. Kuala Lumpur,P.121 Lembah Pantai,101828,76714,13912
W.P. Kuala Lumpur,P.122 Seputeh,124805,87454,67187
W.P. Kuala Lumpur,P.123 Cheras,101184,71746,54448
W.P. Kuala Lumpur,P.124 Bandar Tun Razak,119185,93021,9817
W.P. Putrajaya,P.125 Putrajaya,42881,36643,2310
Negeri Sembilan,P.126 Jelebu,59561,45334,8125
Negeri Sembilan,P.127 Jempol,95813,71795,5857
Negeri Sembilan,P.128 Seremban,157244,123284,30841
Negeri Sembilan,P.129 Kuala Pilah,63247,48662,6483
Negeri Sembilan,P.130 Rasah,155896,119691,61987
Negeri Sembilan,P.131 Rembau,133555,109436,19897
Negeri Sembilan,P.132 Port Dickson,104450,80185,23601
Negeri Sembilan,P.133 Tampin,81099,61033,1276
Melaka,P.134 Masjid Tanah,69174,54749,4411
Melaka,P.135 Alor Gajah,93311,73000,890
Melaka,P.136 Tangga Batu,115998,92027,8849
Melaka,P.137 Hang Tuah Jaya,118493,94486,8638
Melaka,P.138 Kota Melaka,164140,123181,46420
Melaka,P.139 Jasin,96208,77598,322
Johor,P.140 Segamat,69360,50652,5669
Johor,P.141 Sekijang,63981,48237,1734
Johor,P.142 Labis,49846,34745,2833
Johor,P.143 Pagoh,69939,54391,10007
Johor,P.144 Ledang,104577,80307,9769
Johor,P.145 Bakri,97335,73140,19254
Johor,P.146 Muar,68925,53158,1345
Johor,P.147 Parit Sulong,79484,62954,2021
Johor,P.148 Ayer Hitam,61041,46692,2963
Johor,P.149 Sri Gading,78602,61264,4000
Johor,P.150 Batu Pahat,133910,99494,15972
Johor,P.151 Simpang Renggam,59033,44131,1821
Johor,P.152 Kluang,132342,95621,26406
Johor,P.153 Sembrong,54982,40930,10880
Johor,P.154 Mersing,66275,46906,2337
Johor,P.155 Tenggara,67294,51350,2991
Johor,P.156 Kota Tinggi,61291,47333,8390
Johor,P.157 Pengerang,55316,41840,5010
Johor,P.158 Tebrau,223301,167965,30720
Johor,P.159 Pasir Gudang,198485,149280,31558
Johor,P.160 Johor Bahru,136368,94393,16041
Johor,P.161 Pulai,165313,117303,33174
Johor,P.162 Iskandar Puteri,222437,163680,60036
Johor,P.163 Kulai,151247,115253,36023
Johor,P.164 Pontian,75212,56851,5758
Johor,P.165 Tanjung Piai,70679,54588,6360
W.P. Labuan,P.166 Labuan,44484,28449,708
Sabah,P.167 Kudat,75724,45108,1967
Sabah,P.168 Kota Marudu,80735,49946,8174
Sabah,P.169 Kota Belud,79885,54037,4582
Sabah,P.170 Tuaran,83419,58227,233
Sabah,P.171 Sepanggar,108370,70304,7042
Sabah,P.172 Kota Kinabalu,74059,44120,23783
Sabah,P.173 Putatan,63173,41249,124
Sabah,P.174 Penampang,77214,50730,14410
Sabah,P.175 Papar,59942,43509,12224
Sabah,P.176 Kimanis,40763,31068,3037
Sabah,P.177 Beaufort,43248,29298,2518
Sabah,P.178 Sipitang,45871,29061,4691
Sabah,P.179 Ranau,66517,42298,11092
Sabah,P.180 Keningau,87588,54872,8056
Sabah,P.181 Tenom,42045,28649,1108
Sabah,P.182 Pensiangan,55672,37110,5412
Sabah,P.183 Beluran,44727,29334,1594
Sabah,P.184 Libaran,72332,44531,12618
Sabah,P.185 Batu Sapi,43916,27037,4821
Sabah,P.186 Sandakan,55542,30919,11031
Sabah,P.187 Kinabatangan,44773,29354,4330
Sabah,P.188 Lahad Datu,100256,58145,4376
Sabah,P.189 Semporna,72169,38909,20810
Sabah,P.190 Tawau,87477,50687,3800
Sabah,P.191 Kalabakan,83970,50030,9100
Sarawak,P.192 Mas Gading,47171,31379,5480
Sarawak,P.193 Santubong,79540,51809,38681
Sarawak,P.194 Petra Jaya,109809,69163,41363
Sarawak,P.195 Bandar Kuching,109710,63575,28891
Sarawak,P.196 Stampin,121009,73753,7158
Sarawak,P.197 Kota Samarahan,82229,55111,29445
Sarawak,P.198 Puncak Borneo,79969,51154,13338
Sarawak,P.199 Serian,65273,39974,16697
Sarawak,P.200 Batang Sadong,32640,22443,14893
Sarawak,P.201 Batang Lupar,43072,27559,14463
Sarawak,P.202 Sri Aman,50164,31917,4039
Sarawak,P.203 Lubok Antu,28995,19294,100
Sarawak,P.204 Betong,41743,26713,11302
Sarawak,P.205 Saratok,44531,30841,8826
Sarawak,P.206 Tanjong Manis,32948,19040,13908
Sarawak,P.207 Igan,28290,16986,14662
Sarawak,P.208 Sarikei,55018,36463,3697
Sarawak,P.209 Julau,34850,22537,1340
Sarawak,P.210 Kanowit,30988,18043,236
Sarawak,P.211 Lanang,87356,52946,11544
Sarawak,P.212 Sibu,105875,65942,7760
Sarawak,P.213 Mukah,46964,27780,15686
Sarawak,P.214 Selangau,45743,28796,4986
Sarawak,P.215 Kapit,45210,21999,12402
Sarawak,P.216 Hulu Rajang,43438,23407,7505
Sarawak,P.217 Bintulu,113599,70392,22168
Sarawak,P.218 Sibuti,58522,33916,11745
Sarawak,P.219 Miri,143229,78148,6159
Sarawak,P.220 Baram,59535,,
Sarawak,P.221 Limbang,41999,19796,9998
Sarawak,P.222 Lawas,33655,18208,5677
