state,parlimen,dun,total,male_18_20,female_18_20,male_21_29,female_21_29,male_30_39,female_30_39,male_40_49,female_40_49,male_50_59,female_50_59,male_60_69,female_60_69,male_70_79,female_70_79,male_80_89,female_80_89,male_90+,female_90+,votertype_regular,votertype_early_army,votertype_early_police,votertype_postal_overseas,total_ge14
Perlis,P.001 Padang Besar,N.01 Titi Tinggi,13403,378,417,1507,1296,1778,1554,1189,1057,860,871,743,758,363,381,96,108,30,17,13019,0,383,1,10111
Perlis,P.001 Padang Besar,N.02 Beseri,12128,412,334,1485,1404,1537,1456,869,845,759,798,645,668,322,343,75,135,16,25,11793,275,55,5,8914
Perlis,P.001 Padang Besar,N.03 Chuping,14248,477,473,1475,1462,1707,1664,1281,1287,906,865,648,806,443,475,92,142,20,25,14247,0,0,1,10542
Perlis,P.001 Padang Besar,N.04 Mata Ayer,9662,224,238,1226,946,1490,1346,751,719,532,569,413,474,223,307,69,101,6,28,8182,1459,19,2,7617
Perlis,P.001 Padang Besar,N.05 Santan,10751,310,303,1066,987,1186,1246,821,865,735,775,577,754,334,445,118,188,12,29,10751,0,0,0,8912
Perlis,P.002 Kangar,N.06 Bintong,16366,573,580,1919,1824,1805,1890,1246,1302,1039,1112,787,970,423,545,122,191,14,24,16365,0,0,1,12136
Perlis,P.002 Kangar,N.07 Sena,15870,527,479,1736,1733,1934,1727,1258,1302,981,1022,903,964,450,505,122,171,24,32,15537,0,332,1,12303
Perlis,P.002 Kangar,N.08 Indera Kayangan,14465,368,416,1436,1378,1609,1619,1149,1136,861,986,952,1090,498,570,125,193,40,39,14463,0,0,2,11018
Perlis,P.002 Kangar,N.09 Kuala Perlis,14717,485,474,1602,1537,1782,1640,1267,1131,1034,1092,791,839,382,391,90,126,23,31,14690,0,26,1,10654
Perlis,P.002 Kangar,N.10 Kayang,13441,398,382,1517,1418,1737,1541,1019,1039,944,996,656,735,332,424,112,154,15,22,12782,0,658,1,9827
Perlis,P.003 Arau,N.11 Pauh,14797,478,464,1645,1561,1796,1627,1162,1155,1035,1109,756,814,357,477,129,185,20,27,14424,37,336,0,11200
Perlis,P.003 Arau,N.12 Tambun Tulang,13451,414,362,1366,1373,1450,1525,1176,1152,985,1045,707,803,351,419,94,177,18,34,13381,69,0,1,10535
Perlis,P.003 Arau,N.13 Guar Sanji,11510,323,337,1189,1181,1212,1239,949,988,872,956,607,700,300,387,78,152,16,24,11508,0,0,2,9233
Perlis,P.003 Arau,N.14 Simpang Empat,10697,327,337,1102,1082,1147,1195,909,941,750,788,579,645,283,356,86,140,16,14,10679,0,17,1,8547
Perlis,P.003 Arau,N.15 Sanglang,10421,286,312,940,922,1057,1085,898,966,822,842,638,683,303,388,88,158,14,19,10421,0,0,0,8672
Kedah,P.004 Langkawi,N.01 Ayer Hangat,32521,1305,1255,4347,4181,3802,3591,2827,2913,2144,2041,1226,1361,520,605,153,194,24,32,32236,0,285,0,21297
Kedah,P.004 Langkawi,N.02 Kuah,34256,1411,1369,4546,4243,4087,3721,3046,2960,2440,2200,1391,1391,510,555,135,189,33,29,33411,458,383,4,21400
Kedah,P.005 Jerlun,N.03 Kota Siputeh,29785,895,862,2988,2964,3281,3198,2652,2501,2280,2248,1573,1792,786,1042,221,404,35,63,29767,0,18,0,23544
Kedah,P.005 Jerlun,N.04 Ayer Hitam,37816,1076,996,3623,3534,4090,4020,3363,3279,2937,2989,2107,2394,1088,1398,272,540,43,67,37797,0,17,2,30588
Kedah,P.006 Kubang Pasu,N.05 Bukit Kayu Hitam,45801,1620,1537,5503,4960,5319,5087,4000,3639,3026,3111,2175,2525,1087,1394,261,458,41,58,44613,889,297,2,32614
Kedah,P.006 Kubang Pasu,N.06 Jitra,62416,2516,2352,8137,7872,7342,7201,4627,4823,3633,3949,2880,3291,1242,1552,338,537,61,63,61020,1051,330,15,41267
Kedah,P.007 Padang Terap,N.07 Kuala Nerang,31329,1000,1021,3564,3526,3695,3701,2595,2576,2173,2193,1533,1755,616,788,190,316,36,51,31143,0,185,1,24094
Kedah,P.007 Padang Terap,N.08 Pedu,28477,898,840,2995,3198,3293,3271,2636,2559,2058,2038,1199,1420,599,887,200,332,27,27,28455,0,21,1,22550
Kedah,P.008 Pokok Sena,N.09 Bukit Lada,40563,1375,1224,4573,4465,4582,4557,3590,3365,2866,2827,1845,2196,930,1255,290,507,40,76,40547,0,16,0,30002
Kedah,P.008 Pokok Sena,N.10 Bukit Pinang,36667,1077,1005,4118,3732,4390,4173,3193,3015,2342,2651,1785,2170,901,1265,308,423,45,74,35155,1456,53,3,29041
Kedah,P.008 Pokok Sena,N.11 Derga,37608,989,887,3958,3636,4546,4217,3154,3082,2398,2645,2164,2526,1073,1397,288,516,49,83,36827,0,768,13,27849
Kedah,P.009 Alor Setar,N.12 Suka Menanti,41917,1118,1060,4313,4295,4885,4909,3711,3660,2628,2964,2088,2753,1098,1520,302,485,63,65,41907,0,0,10,31305
Kedah,P.009 Alor Setar,N.13 Kota Darul Aman,26102,426,410,1665,1544,2533,2096,2149,1908,2107,2122,2328,2530,1363,1595,380,574,244,128,25394,0,703,5,21835
Kedah,P.009 Alor Setar,N.14 Alor Mengkudu,37975,1219,1196,4340,4277,4370,4342,3107,3096,2407,2698,1906,2239,874,1172,242,385,43,62,37971,0,0,4,27132
Kedah,P.010 Kuala Kedah,N.15 Anak Bukit,36325,1067,1051,3722,3721,3888,3946,3111,3139,2572,2805,1982,2362,887,1212,291,446,54,69,36291,0,32,2,28223
Kedah,P.010 Kuala Kedah,N.16 Kubang Rotan,50078,1601,1539,5519,5433,5717,5714,4544,4306,3249,3393,2608,2874,1161,1475,310,499,56,80,50050,0,22,6,36253
Kedah,P.010 Kuala Kedah,N.17 Pengkalan Kundor,46097,1470,1303,5102,4948,5205,5194,4084,3938,3015,3214,2383,2855,1097,1392,314,481,47,55,46072,0,23,2,33277
Kedah,P.011 Pendang,N.18 Tokai,45265,1326,1358,4499,4558,4868,4950,4060,4055,3320,3453,2244,2744,1165,1571,336,627,50,81,45114,0,149,2,36366
Kedah,P.011 Pendang,N.19 Sungai Tiang,49282,1550,1544,5289,5329,5417,5499,4365,4257,3626,3632,2359,2756,1045,1471,364,630,55,94,49257,0,24,1,38501
Kedah,P.012 Jerai,N.20 Sungai Limau,34312,966,868,3225,3241,3408,3574,3247,3263,2793,2866,1787,2106,920,1156,260,524,39,69,34311,0,0,1,28800
Kedah,P.012 Jerai,N.21 Guar Chempedak,29983,1001,937,3421,3317,3230,3235,2519,2476,2176,2224,1480,1752,684,874,191,342,53,71,29825,0,153,5,22646
Kedah,P.012 Jerai,N.22 Gurun,40706,1500,1422,4776,4484,4334,4198,3579,3393,2876,2896,1910,2335,961,1166,263,448,82,83,40584,53,67,2,28530
Kedah,P.013 Sik,N.23 Belantek,28147,906,861,3059,2959,3202,3215,2539,2472,2049,2107,1354,1480,565,766,195,323,41,54,27987,0,160,0,22744
Kedah,P.013 Sik,N.24 Jeneri,34979,1142,1034,3719,3645,4146,4113,3319,3244,2364,2338,1593,1900,754,1014,170,389,38,57,34973,0,4,2,27641
Kedah,P.014 Merbok,N.25 Bukit Selambau,78353,3397,3291,10455,10237,8299,8576,5861,6281,4981,5303,3702,4209,1384,1507,291,430,80,69,78042,0,298,13,48367
Kedah,P.014 Merbok,N.26 Tanjong Dawai,54091,1780,1683,6648,5852,6991,6342,4962,4797,3397,3527,2194,2645,1071,1349,256,460,47,90,49330,4726,32,3,39415
Kedah,P.015 Sungai Petani,N.27 Pantai Merdeka,51218,1906,1922,6661,6423,5477,5258,4021,4081,3662,3967,2257,2611,923,1251,228,455,39,76,51186,0,29,3,36810
Kedah,P.015 Sungai Petani,N.28 Bakar Arang,57589,1764,1645,6706,6457,6341,6295,4462,4684,3683,4521,3241,3616,1394,1660,362,517,125,116,57464,0,114,11,38991
Kedah,P.015 Sungai Petani,N.29 Sidam,60040,2745,2568,7429,7450,5840,5825,4835,4968,4035,4462,2912,3153,1199,1543,346,542,78,110,60035,0,0,5,36776
Kedah,P.016 Baling,N.30 Bayu,47471,1446,1354,5040,5107,5248,5429,4268,4087,3532,3498,2398,2529,1023,1427,311,617,60,97,47226,0,243,2,38985
Kedah,P.016 Baling,N.31 Kupang,42615,1402,1337,4666,4752,4892,4856,3762,3702,2977,3033,2058,2334,854,1177,240,436,60,77,42587,0,25,3,34430
Kedah,P.016 Baling,N.32 Kuala Ketil,42013,1402,1345,4856,4734,4661,4757,3616,3598,3059,3122,1855,2228,752,1120,273,463,75,97,41983,0,27,3,33798
