seat,reg_2018,nonreg_2018,eligible_2018,nonreg_2018_pct,reg_2018_pct,reg_2022,inc,inc_undi18,inc_pct
P.194  Petra Jaya,57925,43493,101418,42.884892228204066,57.115107771795934,109580,51655,8162,89.17565817867933
P.218  Sibuti,31868,22539,54407,41.42665465840793,58.57334534159207,58427,26559,4020,83.34065520271119
P.196  Stampin,66240,46267,112507,41.12366341649853,58.87633658350147,120753,54513,8246,82.2961956521739
P.158  Tebrau,123033,76409,199442,38.31138877468136,61.68861122531864,221237,98204,21795,79.81923548966537
P.219  Miri,80386,53060,133446,39.76140161563479,60.23859838436521,143040,62654,9594,77.94143258776404
P.197  Kota Samarahan,46300,28451,74751,38.061029283889184,61.938970716110816,81624,35324,6873,76.2937365010799
P.182  Pensiangan,31377,18438,49815,37.01294790725685,62.98705209274315,55143,23766,5328,75.7433789081174
P.217  Bintulu,65049,39449,104498,37.75096174089456,62.24903825910544,113255,48206,8757,74.10721148672539
P.193  Santubong,45628,27189,72817,37.33880824532733,62.66119175467267,79395,33767,6578,74.0049969317086
P.199  Serian,37629,23608,61237,38.55185590411026,61.44814409588974,65422,27793,4185,73.86058624996679
P.198  Puncak Borneo,46180,28579,74759,38.228173196538215,61.771826803461785,80017,33837,5258,73.27197921177999
P.107  Sungai Buloh,90707,50700,141407,35.85395348179369,64.1460465182063,156554,65847,15147,72.59307440440098
P.171  Sepanggar,62415,35028,97443,35.94716911425141,64.05283088574859,107034,44619,9591,71.4876231675078
P.180  Keningau,51177,29317,80494,36.42134817501926,63.57865182498074,87355,36178,6861,70.69191238251558
P.168  Kota Marudu,47007,26488,73495,36.04054697598476,63.95945302401524,79993,32986,6498,70.17252749590487
P.102  Bangi,178790,96294,275084,35.00530746971834,64.99469253028167,301311,122521,26227,68.52788187258795
P.220  Baram,35685,20094,55779,36.024310224277954,63.975689775722046,59470,23785,3691,66.65265517724535
P.188  Lahad Datu,60942,29729,90671,32.787771172701305,67.2122288272987,99330,38388,8659,62.991040661612686
P.111  Kota Raja,149021,71384,220405,32.387650007939925,67.61234999206008,242854,93833,22449,62.96629334120695
P.101  Hulu Langat,102363,48397,150760,32.102016449986735,67.89798355001327,165622,63259,14862,61.79869679474028
P.162  Iskandar Puteri,138299,66441,204740,32.45140177786461,67.54859822213538,221347,83048,16607,60.04960267247051
P.191  Kalabakan,52199,24755,76954,32.1685682355693,67.8314317644307,83317,31118,6363,59.61416885380946
P.113  Sepang,104508,46638,151146,30.8562581874479,69.1437418125521,166417,61909,15271,59.23852719409041
P.221  Limbang,26409,12785,39194,32.61978874317498,67.38021125682502,42023,15614,2829,59.12378355863531
